freq,psd_x,psd_y,psd_z,psd_xyz
168.5,7.108e+02,3.253e+02,5.476e+02,1.584e+03
170.1,6.585e+02,3.150e+02,6.181e+02,1.592e+03
171.6,7.842e+02,3.554e+02,8.323e+02,1.972e+03
173.2,7.626e+02,3.890e+02,1.021e+03,2.172e+03
174.8,5.900e+02,3.767e+02,1.022e+03,1.989e+03
176.3,5.634e+02,3.434e+02,1.002e+03,1.908e+03
177.9,5.860e+02,3.383e+02,9.975e+02,1.922e+03
179.4,6.159e+02,3.314e+02,9.877e+02,1.935e+03
181.0,6.157e+02,2.920e+02,9.563e+02,1.864e+03
182.6,5.451e+02,2.783e+02,9.404e+02,1.764e+03
184.1,4.978e+02,2.520e+02,9.326e+02,1.682e+03
185.7,5.039e+02,2.468e+02,9.260e+02,1.677e+03
187.2,5.226e+02,2.247e+02,8.848e+02,1.632e+03
188.8,5.197e+02,2.293e+02,8.487e+02,1.598e+03
190.4,5.381e+02,2.472e+02,7.721e+02,1.557e+03
191.9,5.160e+02,2.560e+02,7.412e+02,1.513e+03
193.5,4.880e+02,2.301e+02,7.198e+02,1.438e+03
195.0,5.299e+02,2.095e+02,7.252e+02,1.465e+03
196.6,5.462e+02,2.188e+02,7.774e+02,1.542e+03
198.2,6.296e+02,2.499e+02,7.643e+02,1.644e+03
199.7,7.815e+02,2.491e+02,7.813e+02,1.812e+03
