freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.671e+01,3.415e+01,7.138e+02,7.647e+02
1.6,9.482e+01,7.424e+01,4.243e+02,5.934e+02
3.1,1.144e+02,7.638e+01,5.195e+01,2.427e+02
4.7,1.186e+02,1.164e+02,3.528e+02,5.878e+02
6.2,1.140e+02,1.810e+02,1.097e+03,1.392e+03
7.8,1.141e+02,2.369e+02,1.766e+03,2.117e+03
9.4,1.010e+02,2.982e+02,2.586e+03,2.985e+03
10.9,9.513e+01,3.839e+02,3.544e+03,4.023e+03
12.5,8.148e+01,4.957e+02,4.742e+03,5.319e+03
14.0,9.389e+01,6.319e+02,6.246e+03,6.971e+03
15.6,1.081e+02,7.738e+02,8.003e+03,8.885e+03
17.2,1.175e+02,9.726e+02,1.016e+04,1.125e+04
18.7,1.237e+02,1.220e+03,1.254e+04,1.389e+04
20.3,1.353e+02,1.126e+03,1.199e+04,1.326e+04
21.8,1.334e+02,1.035e+03,1.243e+04,1.359e+04
23.4,1.452e+02,1.318e+03,1.618e+04,1.764e+04
25.0,1.802e+02,1.447e+03,1.821e+04,1.983e+04
26.5,2.302e+02,1.349e+03,1.805e+04,1.963e+04
28.1,2.464e+02,1.421e+03,1.937e+04,2.103e+04
29.6,2.184e+02,1.596e+03,2.214e+04,2.396e+04
31.2,1.923e+02,1.831e+03,2.603e+04,2.805e+04
32.8,1.784e+02,2.113e+03,3.083e+04,3.312e+04
34.3,1.883e+02,2.343e+03,3.734e+04,3.987e+04
35.9,2.482e+02,2.734e+03,4.593e+04,4.891e+04
37.4,2.178e+02,3.820e+03,5.531e+04,5.935e+04
39.0,1.697e+02,3.945e+03,5.656e+04,6.067e+04
40.6,1.786e+02,2.921e+03,5.365e+04,5.675e+04
42.1,2.483e+02,2.505e+03,5.746e+04,6.021e+04
43.7,2.620e+02,2.919e+03,6.044e+04,6.362e+04
45.3,2.353e+02,3.648e+03,6.328e+04,6.716e+04
46.8,2.073e+02,4.528e+03,7.114e+04,7.588e+04
48.4,1.768e+02,5.289e+03,7.994e+04,8.540e+04
49.9,1.592e+02,5.758e+03,8.591e+04,9.183e+04
51.5,1.398e+02,6.502e+03,9.756e+04,1.042e+05
53.1,1.280e+02,7.747e+03,1.198e+05,1.277e+05
54.6,1.331e+02,9.293e+03,1.507e+05,1.601e+05
56.2,1.415e+02,1.099e+04,1.863e+05,1.975e+05
57.7,1.508e+02,1.239e+04,2.219e+05,2.345e+05
59.3,1.543e+02,1.535e+04,2.921e+05,3.076e+05
60.9,1.681e+02,2.024e+04,4.120e+05,4.324e+05
62.4,2.032e+02,2.667e+04,5.831e+05,6.100e+05
64.0,2.360e+02,3.368e+04,7.880e+05,8.219e+05
65.5,2.152e+02,4.255e+04,1.066e+06,1.109e+06
67.1,2.110e+02,5.286e+04,1.421e+06,1.474e+06
68.7,3.901e+02,6.511e+04,1.906e+06,1.972e+06
70.2,8.155e+02,8.264e+04,2.711e+06,2.795e+06
71.8,1.526e+03,9.913e+04,3.649e+06,3.750e+06
73.3,2.237e+03,1.022e+05,4.164e+06,4.269e+06
74.9,2.376e+03,8.562e+04,3.947e+06,4.035e+06
76.5,2.192e+03,6.588e+04,3.417e+06,3.485e+06
78.0,1.878e+03,4.796e+04,2.815e+06,2.865e+06
79.6,1.337e+03,3.335e+04,2.267e+06,2.302e+06
81.1,9.797e+02,2.172e+04,1.822e+06,1.845e+06
82.7,7.200e+02,1.329e+04,1.454e+06,1.468e+06
84.3,6.132e+02,8.578e+03,1.269e+06,1.278e+06
85.8,6.470e+02,5.481e+03,1.173e+06,1.179e+06
87.4,6.199e+02,3.291e+03,1.106e+06,1.110e+06
88.9,5.509e+02,1.798e+03,1.033e+06,1.036e+06
90.5,4.491e+02,8.377e+02,9.075e+05,9.088e+05
92.1,3.545e+02,3.012e+02,7.331e+05,7.338e+05
93.6,3.091e+02,1.489e+02,5.548e+05,5.553e+05
95.2,2.635e+02,2.264e+02,4.206e+05,4.211e+05
96.7,2.373e+02,3.890e+02,3.253e+05,3.259e+05
98.3,1.932e+02,6.414e+02,2.642e+05,2.651e+05
99.9,1.694e+02,9.463e+02,2.255e+05,2.266e+05
101.4,1.587e+02,1.435e+03,1.969e+05,1.985e+05
103.0,1.584e+02,2.089e+03,1.721e+05,1.743e+05
104.5,1.592e+02,2.761e+03,1.441e+05,1.470e+05
106.1,1.521e+02,3.628e+03,1.233e+05,1.271e+05
107.7,1.540e+02,5.304e+03,1.220e+05,1.275e+05
109.2,1.614e+02,7.896e+03,1.238e+05,1.319e+05
110.8,1.566e+02,1.164e+04,1.255e+05,1.373e+05
112.3,1.803e+02,1.581e+04,1.173e+05,1.333e+05
113.9,2.052e+02,2.403e+04,1.106e+05,1.348e+05
115.5,2.569e+02,4.107e+04,1.098e+05,1.511e+05
117.0,3.617e+02,5.512e+04,9.573e+04,1.512e+05
118.6,4.202e+02,5.745e+04,7.122e+04,1.291e+05
120.1,4.876e+02,5.420e+04,5.162e+04,1.063e+05
121.7,5.843e+02,4.859e+04,3.759e+04,8.677e+04
123.3,6.903e+02,4.406e+04,2.994e+04,7.468e+04
124.8,8.469e+02,4.044e+04,2.625e+04,6.754e+04
126.4,1.016e+03,3.784e+04,2.403e+04,6.288e+04
128.0,1.149e+03,3.633e+04,2.208e+04,5.955e+04
129.5,1.368e+03,3.474e+04,2.026e+04,5.637e+04
131.1,1.657e+03,3.353e+04,1.869e+04,5.388e+04
132.6,1.671e+03,2.192e+04,1.186e+04,3.546e+04
134.2,1.633e+03,3.693e+03,1.993e+03,7.318e+03
135.8,2.298e+03,7.478e+02,4.918e+02,3.538e+03
137.3,3.000e+03,6.850e+02,5.853e+02,4.270e+03
138.9,3.458e+03,7.043e+02,6.820e+02,4.844e+03
140.4,3.538e+03,7.081e+02,7.305e+02,4.977e+03
142.0,3.351e+03,7.829e+02,7.420e+02,4.876e+03
143.6,2.903e+03,8.662e+02,7.126e+02,4.482e+03
145.1,2.305e+03,9.062e+02,6.751e+02,3.886e+03
146.7,1.763e+03,9.002e+02,6.286e+02,3.292e+03
148.2,1.351e+03,8.070e+02,5.880e+02,2.746e+03
149.8,9.548e+02,7.298e+02,6.397e+02,2.324e+03
151.4,7.980e+02,6.616e+02,6.304e+02,2.090e+03
152.9,7.526e+02,6.468e+02,6.016e+02,2.001e+03
154.5,7.577e+02,6.173e+02,5.839e+02,1.959e+03
156.0,7.833e+02,5.633e+02,5.531e+02,1.900e+03
157.6,8.020e+02,4.999e+02,5.174e+02,1.819e+03
159.2,8.008e+02,4.674e+02,5.250e+02,1.793e+03
160.7,7.829e+02,4.373e+02,5.233e+02,1.743e+03
162.3,7.877e+02,3.960e+02,5.032e+02,1.687e+03
163.8,8.770e+02,3.582e+02,4.826e+02,1.718e+03
165.4,8.927e+02,3.405e+02,4.940e+02,1.727e+03
167.0,7.780e+02,3.154e+02,5.198e+02,1.613e+03
