freq,psd_x,psd_y,psd_z,psd_xyz
141.3,2.345e+03,7.820e+02,7.374e+02,3.864e+03
142.8,1.981e+03,7.534e+02,7.866e+02,3.521e+03
144.4,1.567e+03,7.136e+02,8.407e+02,3.121e+03
145.9,1.215e+03,6.993e+02,8.677e+02,2.782e+03
147.5,9.938e+02,6.378e+02,9.131e+02,2.545e+03
149.0,9.196e+02,6.544e+02,1.044e+03,2.618e+03
150.6,8.667e+02,6.781e+02,1.120e+03,2.664e+03
152.1,9.539e+02,6.413e+02,1.098e+03,2.693e+03
153.7,1.002e+03,6.288e+02,1.097e+03,2.728e+03
155.2,1.177e+03,5.986e+02,1.113e+03,2.889e+03
156.8,1.329e+03,5.271e+02,1.072e+03,2.928e+03
158.3,1.282e+03,4.796e+02,1.029e+03,2.791e+03
159.9,1.246e+03,4.873e+02,1.030e+03,2.763e+03
161.4,1.243e+03,4.420e+02,1.009e+03,2.694e+03
163.0,1.344e+03,4.153e+02,1.040e+03,2.800e+03
164.6,1.337e+03,4.253e+02,1.092e+03,2.854e+03
166.1,1.343e+03,4.158e+02,1.117e+03,2.875e+03
167.7,1.338e+03,3.867e+02,1.099e+03,2.824e+03
169.2,1.296e+03,4.229e+02,1.118e+03,2.837e+03
170.8,1.250e+03,4.461e+02,1.201e+03,2.897e+03
172.3,1.262e+03,4.858e+02,1.577e+03,3.324e+03
173.9,1.307e+03,5.154e+02,1.703e+03,3.526e+03
175.4,1.424e+03,4.917e+02,1.704e+03,3.619e+03
177.0,1.435e+03,4.745e+02,1.697e+03,3.606e+03
178.5,1.479e+03,4.417e+02,1.698e+03,3.619e+03
180.1,1.576e+03,3.955e+02,1.696e+03,3.668e+03
181.6,1.619e+03,4.072e+02,1.703e+03,3.729e+03
183.2,1.514e+03,4.393e+02,1.720e+03,3.674e+03
184.7,1.634e+03,3.919e+02,1.652e+03,3.678e+03
186.3,1.765e+03,3.705e+02,1.567e+03,3.703e+03
187.8,1.887e+03,3.468e+02,1.495e+03,3.729e+03
189.4,1.974e+03,4.146e+02,1.459e+03,3.848e+03
190.9,2.136e+03,3.828e+02,1.494e+03,4.014e+03
192.5,2.472e+03,3.514e+02,1.592e+03,4.415e+03
194.0,2.917e+03,3.352e+02,1.748e+03,5.000e+03
195.6,3.625e+03,3.188e+02,1.947e+03,5.891e+03
197.2,4.411e+03,3.570e+02,2.131e+03,6.899e+03
198.7,5.189e+03,3.331e+02,2.263e+03,7.786e+03
