freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.395e+02,6.488e+01,2.037e+01,7.248e+02
1.6,7.002e+02,3.247e+02,8.715e+01,1.112e+03
3.1,4.896e+02,4.064e+02,8.841e+01,9.843e+02
4.7,7.610e+02,4.387e+02,8.571e+01,1.285e+03
6.2,1.514e+03,4.134e+02,8.934e+01,2.016e+03
7.8,2.186e+03,4.376e+02,1.010e+02,2.724e+03
9.4,2.963e+03,4.624e+02,1.041e+02,3.529e+03
10.9,3.897e+03,4.462e+02,1.198e+02,4.463e+03
12.5,4.837e+03,4.453e+02,1.291e+02,5.411e+03
14.0,6.048e+03,4.007e+02,1.237e+02,6.572e+03
15.6,7.512e+03,4.496e+02,1.081e+02,8.069e+03
17.2,9.200e+03,4.470e+02,1.013e+02,9.748e+03
18.7,1.096e+04,3.770e+02,1.093e+02,1.144e+04
20.3,1.288e+04,3.382e+02,1.450e+02,1.337e+04
21.8,1.507e+04,3.713e+02,1.528e+02,1.559e+04
23.4,1.820e+04,4.116e+02,1.420e+02,1.876e+04
25.0,2.119e+04,4.645e+02,1.554e+02,2.181e+04
26.5,2.169e+04,4.516e+02,1.657e+02,2.230e+04
28.1,1.936e+04,4.310e+02,1.644e+02,1.996e+04
29.6,1.788e+04,4.216e+02,1.454e+02,1.845e+04
31.2,1.902e+04,4.454e+02,1.312e+02,1.959e+04
32.8,2.178e+04,3.695e+02,1.143e+02,2.226e+04
34.3,2.494e+04,3.775e+02,1.183e+02,2.544e+04
35.9,2.776e+04,4.007e+02,1.527e+02,2.831e+04
37.4,3.070e+04,4.418e+02,1.756e+02,3.132e+04
39.0,3.346e+04,4.748e+02,1.584e+02,3.409e+04
40.6,3.727e+04,5.053e+02,1.483e+02,3.792e+04
42.1,4.198e+04,4.620e+02,1.855e+02,4.262e+04
43.7,4.449e+04,3.906e+02,2.193e+02,4.510e+04
45.2,4.738e+04,4.509e+02,2.474e+02,4.807e+04
46.8,5.310e+04,5.086e+02,2.582e+02,5.387e+04
48.4,5.836e+04,4.968e+02,2.622e+02,5.912e+04
49.9,6.216e+04,4.729e+02,2.733e+02,6.290e+04
51.5,6.850e+04,4.040e+02,2.762e+02,6.918e+04
53.0,7.777e+04,3.635e+02,2.594e+02,7.839e+04
54.6,8.803e+04,4.258e+02,2.489e+02,8.870e+04
56.2,9.580e+04,4.795e+02,2.382e+02,9.651e+04
57.7,1.004e+05,4.696e+02,2.351e+02,1.011e+05
59.3,1.130e+05,4.922e+02,2.322e+02,1.138e+05
60.8,1.305e+05,4.578e+02,2.304e+02,1.312e+05
62.4,1.517e+05,4.967e+02,2.365e+02,1.524e+05
64.0,1.753e+05,4.789e+02,2.548e+02,1.761e+05
65.5,2.028e+05,4.205e+02,2.708e+02,2.034e+05
67.1,2.249e+05,4.688e+02,2.825e+02,2.256e+05
68.6,2.533e+05,5.059e+02,3.371e+02,2.542e+05
70.2,2.973e+05,4.164e+02,4.065e+02,2.981e+05
71.8,3.247e+05,4.217e+02,6.738e+02,3.258e+05
73.3,3.330e+05,5.644e+02,1.063e+03,3.347e+05
74.9,3.361e+05,6.837e+02,1.530e+03,3.383e+05
76.4,3.499e+05,7.191e+02,2.141e+03,3.528e+05
78.0,3.790e+05,7.651e+02,3.290e+03,3.830e+05
79.6,4.255e+05,8.894e+02,5.126e+03,4.315e+05
81.1,4.907e+05,8.576e+02,8.488e+03,5.001e+05
82.7,5.482e+05,9.117e+02,1.539e+04,5.645e+05
84.2,6.913e+05,1.066e+03,3.487e+04,7.272e+05
