freq,psd_x,psd_y,psd_z,psd_xyz
85.8,9.031e+05,1.376e+03,6.060e+04,9.651e+05
87.4,1.277e+06,1.709e+03,6.789e+04,1.346e+06
88.9,1.834e+06,2.009e+03,6.817e+04,1.905e+06
90.5,2.707e+06,2.361e+03,7.353e+04,2.783e+06
92.0,3.781e+06,2.760e+03,7.784e+04,3.862e+06
93.6,4.476e+06,2.960e+03,7.833e+04,4.558e+06
95.2,4.736e+06,2.813e+03,6.987e+04,4.808e+06
96.7,4.762e+06,2.190e+03,6.062e+04,4.825e+06
98.3,4.832e+06,1.642e+03,5.157e+04,4.885e+06
99.9,4.592e+06,1.454e+03,3.972e+04,4.634e+06
101.4,4.175e+06,1.188e+03,3.064e+04,4.207e+06
103.0,3.648e+06,1.042e+03,2.417e+04,3.673e+06
104.5,2.937e+06,8.154e+02,1.991e+04,2.958e+06
106.1,2.288e+06,7.325e+02,1.620e+04,2.305e+06
107.7,1.985e+06,6.879e+02,1.351e+04,1.999e+06
109.2,1.723e+06,6.363e+02,1.145e+04,1.735e+06
110.8,1.507e+06,6.363e+02,9.974e+03,1.518e+06
112.3,1.327e+06,5.516e+02,8.817e+03,1.337e+06
113.9,1.184e+06,5.111e+02,7.621e+03,1.193e+06
115.5,1.058e+06,5.350e+02,6.648e+03,1.065e+06
117.0,9.481e+05,5.001e+02,5.919e+03,9.545e+05
118.6,8.715e+05,5.092e+02,5.408e+03,8.774e+05
120.1,8.059e+05,4.636e+02,4.843e+03,8.112e+05
121.7,7.361e+05,5.482e+02,4.358e+03,7.410e+05
123.3,6.818e+05,6.277e+02,4.105e+03,6.866e+05
124.8,6.348e+05,4.925e+02,3.823e+03,6.391e+05
126.4,6.054e+05,5.179e+02,3.384e+03,6.093e+05
127.9,5.704e+05,5.917e+02,2.904e+03,5.738e+05
129.5,5.318e+05,5.834e+02,2.223e+03,5.346e+05
131.1,4.989e+05,6.158e+02,1.492e+03,5.010e+05
132.6,3.153e+05,5.553e+02,7.452e+02,3.166e+05
134.2,5.082e+04,4.464e+02,2.327e+02,5.150e+04
135.7,1.080e+04,5.387e+02,1.865e+02,1.153e+04
137.3,9.580e+03,5.124e+02,2.164e+02,1.031e+04
138.9,8.528e+03,4.097e+02,1.945e+02,9.132e+03
140.4,7.954e+03,5.201e+02,1.971e+02,8.671e+03
142.0,7.655e+03,5.951e+02,2.333e+02,8.483e+03
143.5,7.287e+03,5.271e+02,2.041e+02,8.018e+03
145.1,7.031e+03,5.283e+02,2.244e+02,7.784e+03
146.7,7.304e+03,5.749e+02,2.083e+02,8.088e+03
148.2,7.937e+03,5.036e+02,2.162e+02,8.657e+03
149.8,8.892e+03,5.278e+02,2.283e+02,9.648e+03
151.3,8.752e+03,5.329e+02,2.286e+02,9.514e+03
152.9,8.193e+03,5.797e+02,2.238e+02,8.997e+03
154.5,8.005e+03,6.104e+02,2.097e+02,8.825e+03
156.0,7.628e+03,5.067e+02,2.056e+02,8.341e+03
157.6,7.300e+03,5.307e+02,2.137e+02,8.044e+03
159.1,6.965e+03,5.807e+02,2.169e+02,7.762e+03
160.7,6.485e+03,5.881e+02,2.447e+02,7.317e+03
162.3,5.962e+03,5.312e+02,2.686e+02,6.762e+03
163.8,5.462e+03,5.481e+02,2.668e+02,6.277e+03
165.4,5.178e+03,5.544e+02,2.630e+02,5.995e+03
166.9,4.966e+03,4.228e+02,3.032e+02,5.692e+03
168.5,4.954e+03,5.197e+02,3.261e+02,5.800e+03
170.1,5.322e+03,5.927e+02,2.980e+02,6.212e+03
171.6,7.208e+03,6.416e+02,3.167e+02,8.166e+03
173.2,8.187e+03,5.844e+02,3.225e+02,9.094e+03
174.7,7.552e+03,5.986e+02,3.351e+02,8.486e+03
176.3,7.104e+03,6.113e+02,3.587e+02,8.074e+03
177.9,6.686e+03,6.454e+02,4.266e+02,7.758e+03
179.4,6.716e+03,6.021e+02,4.188e+02,7.737e+03
181.0,6.603e+03,5.935e+02,4.562e+02,7.653e+03
182.5,5.595e+03,6.930e+02,4.896e+02,6.777e+03
184.1,5.193e+03,7.753e+02,4.940e+02,6.463e+03
185.7,4.983e+03,7.036e+02,5.372e+02,6.223e+03
187.2,4.883e+03,6.933e+02,6.198e+02,6.196e+03
188.8,4.688e+03,7.160e+02,5.773e+02,5.981e+03
190.3,4.487e+03,7.415e+02,4.880e+02,5.717e+03
191.9,4.405e+03,6.571e+02,4.139e+02,5.476e+03
193.5,4.553e+03,7.686e+02,3.941e+02,5.716e+03
195.0,4.810e+03,7.875e+02,3.906e+02,5.988e+03
196.6,4.432e+03,7.625e+02,3.873e+02,5.582e+03
198.1,4.546e+03,7.261e+02,3.530e+02,5.625e+03
199.7,4.523e+03,6.970e+02,3.348e+02,5.555e+03
